State,ODI,Urban Population,H_2a_depression_num scaled,Openness scaled,E_2a_gdp scaled,Creativity Index  scaled
Alabama,33.942790001718755,46.957720779633405,83.85284814360267,61.53802466903726,21.857093449798626,33.91812865497076
Arizona,17.985125574508448,93.73167274665172,48.275023850835865,84.20804162687725,30.329584925485698,74.85380116959064
Arkansas,44.35016850166002,41.54361521155012,87.5358090569129,56.24295343262666,16.016218088377165,8.187134502923977
California,6.012899015801337,100.0,16.48372392625199,100.0,91.76440948139337,97.6608187134503
Colorado,32.96070015401812,89.17564840080149,45.724525946858876,89.41214748296953,73.21255986454638,84.21052631578947
Connecticut,10.074449140203997,91.47696005040444,40.49029065769578,82.85943406206768,90.13968070588483,87.71929824561404
Delaware,46.51429388547468,85.36493487940416,48.4435323421184,61.53802466903726,80.81858891032229,70.76023391812865
Florida,22.11396128258949,95.45430964797417,30.77418130138949,94.18629515537971,30.64291504326473,66.66666666666667
Georgia,16.98326844401203,73.82554877861773,43.47863822306768,87.81741929547672,48.67500915538656,65.49707602339181
Idaho,100.0,66.94494205423283,58.539434056881625,65.72800476113892,19.232120386966933,57.309941520467845
Illinois,14.393896288174565,92.10786230679125,38.88390781870261,85.0409416655578,74.06668917708465,73.6842105263158
Indiana,44.01234350235272,69.74840635676811,65.61585408745407,66.1366442018188,44.77231284704377,34.50292397660819
Iowa,47.598935812222834,56.01587907862893,48.275023850835865,39.87157147550477,59.13690757674921,26.31578947368421
Kansas,21.457908351034355,72.48302005403148,59.32490133591517,55.787554071957544,55.47026631376735,32.748538011695906
Kentucky,12.171878108775925,45.81951035479372,85.17854560527974,62.17887967429361,24.968000947565194,13.450292397660817
Louisiana,32.62510197572711,70.97208845536417,70.78596311412544,82.51915455238907,51.00231593880089,29.239766081871345
Maine,79.00888251387654,0.0,89.60064723368473,77.43743368502906,28.481698401278877,40.93567251461989
Maryland,22.23872474789156,90.4600219288973,32.655988886196276,87.33353226893064,74.51699796301466,74.26900584795322
Massachusetts,12.529000322033479,96.42683941380793,61.811239438389755,92.06100705100724,100.0,100.0
Michigan,47.971300170147494,73.08169864866008,77.73854674758076,63.02643279159348,39.71241629862359,50.29239766081872
Minnesota,15.480680087328272,71.12410752385534,50.78308221083918,52.06042006056562,70.53132995553514,71.34502923976609
Mississippi,32.934198959115655,27.182704599358498,64.10551249524592,68.74923883759348,0.0,7.602339181286549
Missouri,55.75773234702498,66.6290441108126,79.25621552090259,67.75319981815278,39.599434228821906,42.105263157894726
Montana,30.545849102904967,40.94760691781154,69.47334962522996,84.70869054690806,30.282224494519028,25.146198830409354
Nebraska,68.19905600331269,70.81986156853289,48.94793045838619,41.486938386282056,69.0433192706868,22.22222222222222
Nevada,53.76604302412953,99.0583119322932,32.84288392533452,94.63536432765474,46.67164817427967,36.25730994152047
New Hampshire,23.184228671699767,49.384642248500654,76.34546077082587,73.57306739641096,64.3060957954022,70.17543859649122
New Jersey,9.221690326576828,99.64779954705475,0.0,88.93663949057226,77.78092415441016,82.45614035087718
New Mexico,36.835750390440786,77.18467674679258,62.11916769615464,95.67470327793592,36.52269373062609,59.64912280701755
New York,0.03405583108769816,91.35034951899837,20.591085142835162,99.29316187226966,99.7792637684613,94.15204678362572
North Carolina,12.036863693155262,59.611015249612635,58.69685530330915,75.24923985698764,42.56768251256133,50.29239766081872
North Dakota,54.788839222835506,48.64351505097204,50.45107584367039,0.0,92.37150464547526,18.128654970760234
Ohio,51.279855556293555,77.90170401743089,65.91611480378421,68.35212288852995,53.34351163544042,44.444444444444436
Oklahoma,84.5049102198622,59.77935080755907,84.2517830824852,60.45986046447869,48.829232594416005,35.67251461988304
Oregon,29.395628571278888,82.24709169367523,100.00000000000004,90.82402764965232,53.49728396946514,71.9298245614035
Pennsylvania,33.25935013143138,79.03942988278452,62.27289624568972,75.24923985698764,63.38090525904683,63.1578947368421
Rhode Island,28.522253602540314,94.84213685617222,76.90424113181469,91.75332581109541,51.59218716882226,53.80116959064327
South Carolina,23.51727455687902,59.94743227400061,65.61585408745407,85.20661606859323,22.07164088985696,31.57894736842105
South Dakota,2.274852417123535,42.52992768623898,35.435369966068684,59.806813109333,53.95998839142031,0.0
Tennessee,16.853916950517064,60.11526041485045,81.97706249874854,76.16735269640445,42.41667837346448,29.82456140350877
Texas,15.640566808214121,87.22087701474362,24.589484834184063,80.79851962791311,74.00102174828174,85.38011695906434
Utah,55.28925737572138,94.71929740590453,79.39343066897986,71.6739311679202,50.18623568391778,50.877192982456144
Vermont,35.692292015843925,0.5739907058517346,83.85284814360267,83.36749317964727,43.53160446600146,51.461988304093566
Virginia,21.679561830487525,74.41707181833851,39.956729641248366,88.1385953537213,63.541680365862696,71.9298245614035
Washington,0.0,86.42925791987066,81.03034264509144,87.33353226893064,90.08723450095655,84.21052631578947
West Virginia,71.78930123082692,25.59352848836811,96.49025165728484,47.9266594675817,18.258753825638507,10.526315789473683
Wisconsin,41.681902615759995,66.3122474522603,48.611852660842246,45.14882999812748,53.020497177578996,34.50292397660819
Wyoming,5.046976992714841,57.3991757540834,56.79686170373288,60.892651259812425,86.58225601558591,8.187134502923977
